top - 15:06:40 up  1:00,  2 users,  load average: 1.88, 0.84, 0.65
Tasks: 242 total,  12 running, 165 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.5 us,  0.4 sy,  0.0 ni, 95.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  7985248 total,  4612736 free,  1556096 used,  1816416 buff/cache
KiB Swap:     1020 total,     1020 free,        0 used.  6036748 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 4459 bp0017    20   0 98.251g 128860  67376 S   0.0  1.6   0:06.33 atril
 4467 bp0017    20   0  187764   4240   3856 S   0.0  0.1   0:00.00 atrild
 4478 bp0017    20   0 97.920g  32960  27680 S   0.0  0.4   0:00.04 WebKitNetw+
 4584 bp0017    20   0  145440   6292   5168 S   0.0  0.1   0:00.01 oosplash
 4602 bp0017    20   0 1462788 190568 119432 S   0.0  2.4   0:55.49 soffice.bin
 9195 bp0017    20   0   23224   5548   3288 S   0.0  0.1   0:00.23 bash
13603 bp0017    20   0 1666100 194544  98756 S   0.0  2.4   0:21.75 Web Content
14761 bp0017    20   0   41776   3764   3180 S   0.0  0.0   0:02.10 top
15150 bp0017    20   0  531360  36980  28216 S   0.0  0.5   0:00.39 mousepad
15572 bp0017    20   0  531320  36276  27436 S   0.0  0.5   0:01.16 mousepad
17029 bp0017    20   0 1470632  77052  61352 S   0.0  1.0   0:00.14 Web Content
17389 bp0017    20   0   22708   5152   3428 S   0.0  0.1   0:00.02 bash
17419 bp0017    20   0   41776   3684   3104 R   0.0  0.0   0:00.01 top
